!Xóõ	[u'ko']
'k	[u'/(\u0259)k/', u'/(\u0259)k/']
absolutie	[u"/\u0251pso'lysi/"]
absolutisme	[u"/\u0251psoly't\u026asm\u0259/"]
absoluut	[u"/\u0251pso'lyt/"]
absolveren	[u"/\u0251ps\u0254l'ver\u0259/"]
absorberen	[u"/\u0251ps\u0254r'ber\u0259(n)/"]
absoute	[u"/\u0251p'sut\u0259/"]
abstract	[u"/\u0251p'str\u0251kt/"]
abstractie	[u"/\u0251p'str\u0251ksi/"]
absurd	[u'/\u0251ps\u028frt/']
abt	[u'/\u0251pt/', u'/\u0251pt/', u'/\u0251b/']
Abw	[u'/\u02c8\u0251l\u0263\u0259men\u0259\u02ccb\u025bist\u0251ntsw\u025bt/', u'/abe\u02c8we/']
AC	[u'/a\u02c8se/']
academisch	[u"/\u0251k\u0251'demis/", u"/ak\u0259'demis/"]
acceptatie	[u'/\u0251k.sep.\u02c8ta\u02d0.t\u0283i/']
acceptatiebeleid	[u'/\u0251k.sep.\u02c8ta\u02d0.t\u0283i.b\u0259.l\u025bit/']
accepteren	[u"/\u0251ks\u025bp'ter\u0259/"]
accessoire	[u'/\u02cc\u0251s\u025b\u02c8swar/', u'/\u02cc\u0251ks\u025b\u02c8swar/']
accident	[u'/\u0251ksi\u02c8d\u025bnt/']
accompanhar	[u"/\u0251k\u0254mp\u0251'\u0272\u0251r/"]
accorderen	[u'/\u0251.k\u0254r.de.r\u0259n/']
accres	[u"/\u0251'kr\u025bs/"]
accuraat	[u'/\u0251ky\u02c8rat/']
accusatief	[u'/\u02cc\u0251kusa\u02c8tif/', u'/\u02cc\u0251kyza\u02c8ti\u02d0f/']
acetylcholine	[u'/\u02cc\u0251s\u0259\u02c8ti\u026b\u03c7o\u02cclin\u0259/', u'/\u02cc\u0251s\u0259\u02c8tilxo\u02cclin\u0259/', u'/\u02cc\u0251s\u025b\u02cctylxo\u02c8lin(\u0259)/']
acetyleen	[u'/\u02cc\u0251.s\u0259.ti.\u02c8len/', u'/\u02cc\u0251.s\u0259.ti.\u02c8len/']
acetylsalicylzuur	[u'/xxxx/']
acharon	[u'/\u0251xa\u02c8r\u0254n/']
achava	[u'/\u0251xa\u02c8va/']
achelde	[u'/\u02c8\u0251x\u0259ld\u0259/']
achenebbisj	[u'/\u0251x\u0259\u02c8n\u025bb\u026a\u0283/']
acht	[u'/\u0251xt/']
achtbaan	[u'/\u02c8\u0251xtba\u02d0n/']
achtbaanrit	[u'/\u02c8\u0251xtba\u02d0nr\u026at/']
achtduizend	[u'/\u02c8\u0251xtin/']
achten	[u"/'\u0251xt\u0259(n)/"]
achterbaks	[u"/\u0251xt\u0259r'b\u0251ks/"]
achterhaald	[u"/\u0251xt\u0259r'\u0266alt/"]
achterkant	[u'/\u02c8\u0251xt\u04d9rk\u0251nt/']
achterkleinkind	[u'/\u02c8\u0251xt\u0259rkl\u025b\u026a\u014bk\u026ant/']
achterkleinzoon	[u'/\u02c8\u0251xt\u0259rkl\u025b\u026a\u032fnzon/']
achterlijf	[u'/\u0251xt\u0259rl\u025bif/']
achterna	[u"/\u0251xt\u0259r'na/"]
achterspeler	[u'/\u02c8\u0251xt\u0259r\u02ccspel\u0259r/']
achtervoegsel	[u"/'\u0251x.t\u0259r.vux.s\u0259l/"]
achterzetsel	[u"/'\u0251xt\u0259rz\u025bts\u0259l/"]
achthoekig	[u"/\u0251xt'\u0266uk\u0259x/"]
achthonderd	[u'/\u02c8\u0251xt\u02cc\u0266\u0254nd\u0259rt/']
achtste	[u'/\u02c8\u0251xst\u0259/']
achttien	[u'/\u02c8\u0251xtin/']
achttiental	[u'/\u02c8\u0251xtin\u02cct\u0251l/']
aciditeit	[u'/\u02ccasidi\u02c8t\u025b\u026at/']
acteur	[u'/\u0251k\u02c8t\xf8r/']
actief	[u"/\u0251k'tif/"]
actrice	[u'/\u0251k\u02c8tr\u026as\u0259/']
actueel	[u'/\u0251kty\u02c8wel/']
acuut	[u'/a\u02c8kyt/']
ad	[u'/\u0251t/']
ad mea weësriem	[u"/\u0251t 'mea w\u0259\u025bs'rim/"]
ad mea weësriem sjana	[u"/\u0251t 'mea w\u0259\u025bs'rim \u0283a'na/"]
ad meie sjone	[u'/\u0251t \u02c8m\u025bj\u0259 \u02c8\u0283on\u0259/']
adamsappel	[u'/\u02c8ad\u0251mz\u0251p\u0259l/']
adar	[u'/a\u02c8d\u0251r/']
adar risjon	[u"/a'd\u0251r ri'\u0283\u0254n/"]
adar sjeni	[u"/a'd\u0251r \u0283e'ni/"]
adelaar	[u'/\u02c8ad\u0259\u02cclar/']
adellijk	[u'/ad\u0259l\u0259k/']
adem	[u'/ad\u0259m/']
ademen	[u'/\u02c8a.d\u0259.m\u0259(n)/', u'/\u02c8a.d\u0259.m\u0259(n)/']
ademhalen	[u'/\u02c8a.d\u0259.\u02ccma.l\u0259(n)/', u'/\u02c8a.d\u0259m.\u02cc\u0266a.l\u0259(n)/']
adenohypofyse	[u'/a\u02c8deno\u02cchipo\u02ccfiz\u0259/', u'/a\u02c8deno\u02cchipo\u02ccfiz\u0259/']
adequaat	[u"/a.de.'k\u028bat/"]
aderlating	[u'/\u02c8a.d\u0259r.la.t\u026a\u014b/', u'/\u02c8a\u02d0.d\u0259r.la\u02d0.t\u026a\u014b(g)/']
adhesie	[u'/\u0251t\u02c8hezi/']
administrateur	[u"/\u0251tm\u0259n\u026astra't\xf8r/", u"/\u0251tm\u026an\u026astra't\xf8r/"]
administratie	[u'/\u02cc\u0251tmin\u026as\u02c8tratsi/', u'/\u02cc\u0251tmin\u026as\u02c8trasi/']
adres	[u'/a\u02c8dr\u025bs/']
adsorberen	[u'/\u0251t.s\u0254r.\u02c8b\u026a\u02d0.r\u0259(n)/', u'/\u0251d.z\u0254r.\u02c8be\u02d0.r\u0259(n)/']
adukiboon	[u'/a.\u02c8du.ki.\u02ccbon/']
advent	[u'/\u0251t\u02c8f\u025bnt/']
advies	[u"/\u0251t'fis/"]
Ae	[u'/a/', u'/ai/', u'/ae/', u'/e/']
aeroob	[u'/\u025b\u02d0rop/']
aerosol	[u'/\u02cc\u025b\u02d0ro\u02c8z\u0254\u026b/', u'/\u02cc\xe6\u02d0ro\u02c8zol/']
afbeelding	[u'/\u0251fbeld\u026a\u014b/', u'/\u0251vbeld\u026a\u014b/']
afbijten	[u'/\u02c8\u0251fb\u025bit\u0259(n)/']
afblaffen	[u'/\u02c8\u0251vbl\u0251f\u0259(n)/']
afbraak	[u"/'\u0251fbrak/"]
afbreken	[u'/\u02c8\u0251vbrek\u0259(n)/']
afdak	[u'/\u02c8\u0251f.d\u0251k/', u'/\u02c8\u0251f.d\u0251k/', u'/\u02c8\u0251v.d\u0251k/']
afdaken	[u'/\u02c8\u0251f.da.k\u0259(n)/', u'/\u02c8\u0251v.da.k\u0259(n)/']
afdakje	[u'/\u02c8\u0251f.d\u0251k.j\u0259/', u'/\u02c8\u0251v.d\u0251k.j\u0259/']
afdakjes	[u'/\u02c8\u0251f.d\u0251k.j\u0259s/', u'/\u02c8\u0251v.d\u0251k.j\u0259s/']
afdekken	[u'/\u02c8\u0251f.d\u025b.k\u0259(n)/', u'/\u02c8\u0251f.d\u025b.k\u0259(n)/', u'/\u02c8\u0251v.d\u025b.k\u0259(n)/']
afdeling	[u'/\u02c8\u0251fdel\u026a\u014b/']
afdrogen	[u'/\u0251fdrog\u0259(n)/', u'/\u0251vdrog\u0259(n)/']
afdroogdoek	[u'/\u02c8\u0251fdroxduk/']
afdruipen	[u'/\u02c8\u0251fdr\u0153\u028fp\u0259(n)/', u'/\u02c8\u0251fdr\u0153\u02d0p\u0259(n)/']
afdruiprek	[u'/\u02c8\u0251fdr\u0153\u028fp\u02ccr\u025bk/', u'/\u02c8\u0251fdr\u0153\u02d0p\u02ccr\u025bk/']
affiliatie	[u'/\u02cc\u0251fili\u02c8ja(t)si/']
affiniteit	[u'/\u0251fini\u02c8t\u025bit/']
affluiten	[u"/'\u0251fl\u028c\u028ft\u0259(n)/"]
affricaat	[u'/\u02cc\u0251fri\u02c8kat/']
afgedropen	[u'/\u02c8\u0251fx\u0259drop\u0259(n)/']
afgefloten	[u"/'\u0251fx\u0259flot\u0259(n)/"]
